,0,1,2,3
BALANCE,1012.6583270140809,3551.153760948655,4602.449657777778,894.9074584484704
BALANCE_FREQUENCY,0.7899240641186824,0.9868785745721271,0.9683887878028403,0.9347342664092664
PURCHASES,270.04178526527534,7681.620097799511,501.86298245614034,1236.1789337689338
ONEOFF_PURCHASES,209.9372994719638,5095.878826405868,320.1887969924812,593.9748737748738
INSTALLMENTS_PURCHASES,60.37144078451094,2587.2082640586796,181.75912280701755,642.4782744282744
CASH_ADVANCE,596.5099032856424,653.6388912102689,4521.509581076023,210.57062552598754
PURCHASES_FREQUENCY,0.1701449084737239,0.946417738386308,0.287831962406015,0.8851652488862488
ONEOFF_PURCHASES_FREQUENCY,0.08630130248931356,0.7390309095354524,0.1389106499582289,0.2970704775764776
PURCHASES_INSTALLMENTS_FREQUENCY,0.08055754815187327,0.7880603300733495,0.18567083709273183,0.7118420466290466
CASH_ADVANCE_FREQUENCY,0.11484596731204426,0.07128989242053789,0.48479177443609023,0.042573466290466294
CASH_ADVANCE_TRX,2.125471460900176,2.0855745721271393,14.294903926482874,0.7900207900207901
PURCHASES_TRX,2.9031933618305255,89.35941320293398,7.665831244778613,22.091773091773092
CREDIT_LIMIT,3278.6405163019867,9696.943765281174,7546.160856687552,4213.207678207603
PAYMENTS,974.260054285391,7288.73949684841,3484.0542157293235,1332.1942053133355
MINIMUM_PAYMENTS,553.9004489856676,1972.7672875427872,2003.6744598095238,639.6772577032967
PRC_FULL_PAYMENT,0.07798125597183807,0.2867074303178484,0.03488830827067669,0.26925750074250077
TENURE,11.44656776464672,11.951100244498777,11.386800334168756,11.594594594594595
